Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
FREEPORT-MCMORAN SAFFORD INC,SAFFORD,GRAHAM,AZ,85546,32.958333,-109.675,Metal Mining,NO,0.1,0,0,1490199.1
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,NO,0,0,0,1454061
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,CANTONMENT,ESCAMBIA,FL,325338926,30.596678,-87.251977,Chemicals,NO,6540,0,0,1446540
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,PASCAGOULA,JACKSON,MS,39581,30.343733,-88.4938,Petroleum,NO,0,1443000,0,1443000
CF INDUSTRIES NITROGEN LLC,DONALDSONVILLE,ASCENSION PARISH,LA,70346,30.098563,-90.95599,Chemicals,NO,0,1407909,0,1407909
CLIMAX MOLYBDENUM CO-HENDERSON MINE,EMPIRE,CLEAR CREEK,CO,80438,39.7591,-105.8404,Metal Mining,NO,0,750,0,1401000
SMOKY VALLEY COMMON OPERATION,ROUND MOUNTAIN,NYE,NV,89045,38.716408,-117.101879,Metal Mining,YES,7,0,0,1400013
MP MINE OPERATIONS LLC,MOUNTAIN PASS,SAN BERNARDINO,CA,92366,35.47129,-115.52864,Metal Mining,NO,3,1,0,1384319
ASARCO LLC RAY MINE OPERATIONS,KEARNY,PINAL,AZ,85137,33.156,-110.978,Metal Mining,NO,0.5,0,0,1350293.2
PCS PHOSPHATE CO INC,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,Chemicals,NO,1291874,0,0,1349349
VISKASE COS INC,OSCEOLA,MISSISSIPPI,AR,72370,35.652289,-89.939752,Plastics and Rubber,NO,1342293,393,0,1346176
FORT KNOX MINE,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,99712,64.99953,-147.358107,Metal Mining,NO,57.6,0,0,1335291.3
PINTO VALLEY MINE,MIAMI,GILA,AZ,85539,33.417445,-110.98421,Metal Mining,NO,86,0,0,1324498
FREEPORT-MCMORAN MORENCI INC,MORENCI,GREENLEE,AZ,85540,33.065,-109.34222,Metal Mining,NO,250,0,0,1300250
POGO MINE,DELTA JUNCTION,SOUTHEAST FAIRBANKS CENSU,AK,99737,64.449722,-144.939623,Metal Mining,NO,0,356748,0,1299133
SOLVAY SPECIALTY POLYMERS USA,BORGER,HUTCHINSON,TX,79008,35.700664,-101.356294,Chemicals,NO,1268.28,0,0,1275445.71
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,YES,3.8,0,0,1269859.8
CLIMAX MOLYBDENUM CO HENDERSON MILL,PARSHALL,GRAND,CO,80468,39.858306,-106.083374,Metal Mining,NO,1.2,0,0,1260075
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,HARRISON,MS,39571,30.389186,-89.308892,Chemicals,NO,6,2,0,1232077
INEOS NITRILES USA LLC,LIMA,ALLEN,OH,45804,40.71416,-84.13223,Chemicals,NO,1738,0,0,1218760
KRATON CORP,BELPRE,WASHINGTON,OH,45714,39.281072,-81.637901,Chemicals,NO,0,1209160,0,1209160
FORT KNOX MINE,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,99712,64.99953,-147.358107,Metal Mining,NO,0,0,0,1202400
NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC,CARLIN,ELKO,NV,89822,40.974445,-116.349998,Metal Mining,NO,5,0,0,1196587
EAST DUBUQUE NITROGEN FERTILIZERS LLC,EAST DUBUQUE,JO DAVIESS,IL,61025,42.44311,-90.55686,Chemicals,NO,1056211,4849,0,1196367
SYNGENTA CROP PROTECTION LLC SAINT GABRIEL FACILITY,SAINT GABRIEL,IBERVILLE PARISH,LA,70776,30.2413,-91.1009,Chemicals,NO,0,1194481,0,1194481
FREEPORT-MCMORAN MORENCI INC,MORENCI,GREENLEE,AZ,85540,33.065,-109.34222,Metal Mining,NO,0.6,0,0,1188723.6
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,NO,3399,0,0,1179024
NYRSTAR CLARKSVILLE INC,CLARKSVILLE,MONTGOMERY,TN,37040,36.518398,-87.40293,Metal Mining,NO,7,149,0,1172314.77
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.320903,-91.239015,Chemicals,NO,1119088,47789,0,1168710
NUTRIEN US LLC,BORGER,HUTCHINSON,TX,79007,35.6417,-101.4228,Chemicals,NO,412237,1411,0,1140702
POGO MINE,DELTA JUNCTION,SOUTHEAST FAIRBANKS CENSU,AK,99737,64.449722,-144.939623,Metal Mining,NO,2.77,214.4,0,1130530.69
NYRSTAR COY-MINE,JEFFERSON CITY,JEFFERSON,TN,37760,36.109834,-83.515469,Metal Mining,NO,0,2769,0,1129678.9
POGO MINE,DELTA JUNCTION,SOUTHEAST FAIRBANKS CENSU,AK,99737,64.449722,-144.939623,Metal Mining,NO,0.9,13.85,0,1079580.57
MARIGOLD MINING CO,VALMY,HUMBOLDT,NV,89438,40.779795,-117.139904,Metal Mining,NO,14.6,0,0,1072054.1
UNION CARBIDE CORP SEADRIFT PLANT,SEADRIFT,CALHOUN,TX,77983,28.510636,-96.771527,Chemicals,NO,897143,0,0,1068736
NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC,CARLIN,ELKO,NV,89822,40.974445,-116.349998,Metal Mining,NO,63,0,0,1062769
MATERION NATURAL RESOURCES INC MILL,DELTA,MILLARD,UT,84624,39.46657,-112.438488,Metal Mining,NO,155000,0,0,1056309
KOCH FERTILIZER DODGE CITY LLC,DODGE CITY,FORD,KS,67801,37.777013,-99.929746,Chemicals,NO,920000,0,0,1041305
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,NO,0,1040000,0,1040000
CHEMOURS JOHNSONVILLE PLANT,NEW JOHNSONVILLE,HUMPHREYS,TN,37134,36.043056,-87.981667,Chemicals,NO,150,1288,0,1025485
INEOS PIGMENTS USA INC,ASHTABULA,ASHTABULA,OH,44004,41.893938,-80.749268,Chemicals,NO,0,9300,0,1022300
EASTMAN CHEMICAL CO TEXAS OPERATIONS,LONGVIEW,HARRISON,TX,75602,32.438056,-94.69,Chemicals,NO,276550,0,0,1020029
DYNO NOBEL INC-CHEYENNE PLANT,CHEYENNE,LARAMIE,WY,82001,41.0949,-104.908,Chemicals,NO,282720,0,0,1015902
BP PRODUCTS NA WHITING BUSINESS UNIT,WHITING,LAKE,IN,46394,41.663055,-87.479643,Petroleum,NO,0,1000000,0,1000000
VALERO REFINING-TEXAS LP,TEXAS CITY,GALVESTON,TX,77590,29.369167,-94.911111,Petroleum,NO,0,1000000,0,1000000
SIMPLOT PHOSPHATES LLC,ROCK SPRINGS,SWEETWATER,WY,82901,41.53841,-109.12746,Chemicals,NO,247,0,0,992299.4
EAGLE MINE LLC-HUMBOLDT MILL,CHAMPION,MARQUETTE,MI,49814,46.48541,-87.90505,Metal Mining,NO,23,4.3,0,990049.5
CITGO PETROLEUM CORP,SULPHUR,CALCASIEU PARISH,LA,70665,30.18149,-93.324051,Petroleum,NO,0,989751,0,989751
DUPONT PONTCHARTRAIN WORKS,LA PLACE,ST. JOHN THE BAPTIST PARISH,LA,70068,30.0589,-90.5241,Chemicals,NO,0,0,0,978594
LYONDELL CHEMICAL CO,CHANNELVIEW,HARRIS,TX,77530,29.816654,-95.107603,Chemicals,NO,19158,0,0,977358
U.S. SILVER - IDAHO INC,WALLACE,SHOSHONE,ID,83873,47.48289,-115.961552,Metal Mining,NO,0,73,0,970118
