Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
SUPERIOR INDUSTRIAL SOLUTIONS INC,COWPENS,SPARTANBURG,SC,29330,35.02157,-81.78709,Chemical Wholesalers,NO,0.0,0.0,0.0,0.0
BARTON SOLVENTS INC BETTENDORF,BETTENDORF,SCOTT,IA,52722,41.52476,-90.48279,Chemical Wholesalers,YES,5.1,0.0,0.0,8.57
DEMENNOKERDOON DBA WORLD OIL RECYCLING,COMPTON,LOS ANGELES,CA,90222,33.910116,-118.221906,Petroleum,YES,0.02,0.0,0.0,0.083
BUCKLEY OIL MIDLOTHIAN,MIDLOTHIAN,ELLIS,TX,76065,32.44836,-97.05641,Chemical Wholesalers,NO,2700.0,0.0,0.0,4200.0
TICONA POLYMERS INC,BISHOP,NUECES,TX,78343,27.569714,-97.83493,Chemicals,NO,26.0,0.0,0.0,108.0
TRECORA WAX LLC,PASADENA,HARRIS,TX,77507,29.63686,-95.04698,Chemicals,YES,0.09,0.0,0.0,153.22
CHROMA COLOR CORP,SALISBURY,ROWAN,NC,28144,35.6686,-80.4483,Plastics and Rubber,NO,30.2,0.0,0.0,30.2
SHERWIN-WILLIAMS CO,COLUMBUS,FRANKLIN,OH,43207,39.90338,-82.93879,Chemicals,NO,6.0,0.0,0.0,8.0
WEST DIRECT OIL #41 PHX,PHOENIX,MARICOPA,AZ,85009,33.47831,-112.12572,Petroleum Bulk Terminals,YES,0.0,0.0,0.0,0.0
ENDURO COMPOSITES INC.-HOUSTON CENTRAL GREEN FACILITY,HOUSTON,HARRIS,TX,77032,29.96141,-95.37609,Plastics and Rubber,NO,0.0,0.0,0.0,0.0
AIR PRODUCTS MANUFACTURING LLC,PARAMOUNT,LOS ANGELES,CA,90723,33.899538,-118.15141,Chemicals,NO,417.0,0.0,0.0,430.0
AMBIT CHEMICAL TECHNOLOGIES,GULFPORT,HARRISON,MS,39503,30.433346,-89.081322,Chemicals,YES,50.34,0.0,0.0,81.31
ENVIRO WASTE,MAHOPAC,PUTNAM,NY,10541,41.353625,-73.74795,Petroleum Bulk Terminals,NO,0.0,0.0,0.0,0.005
DOW CHEMICAL CO FREEPORT FACILITY,FREEPORT,BRAZORIA,TX,775413257,28.980147,-95.342272,Chemicals,NO,0.0,0.0,0.0,0.0
BAYPORT POLYMERS LLC,PORT ARTHUR,JEFFERSON,TX,77642,29.96001,-93.89558,Chemicals,YES,0.0,0.0,0.0,0.0
ANCHOR PAINT MANUFACTURING CO INC,TULSA,TULSA,OK,74112,36.14249,-95.902256,Chemicals,NO,0.0,0.0,0.0,294.911
PCS PHOSPHATE CO INC,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,Chemicals,NO,69.1,0.0,0.0,741560.834
BALCHEM CORP,GREEN POND,COLLETON,SC,29446,32.746667,-80.546944,Chemical Wholesalers,YES,5.0,0.0,0.0,79.0
BARNHARDT MANUFACTURING CO NCFI POLYURETHANES DIV,MOUNT AIRY,SURRY,NC,27030,36.472778,-80.608611,Plastics and Rubber,NO,1.0,0.0,0.0,98.0
BLUE RIDGE SOLVENTS & COATINGS,HENRY,FRANKLIN,VA,24102,36.827483,-79.990143,Chemicals,NO,0.0,0.0,0.0,93.0
PROTECH POWDER COATINGS DBA CHEMIONICS CORP,TALLMADGE,SUMMIT,OH,44278,41.06155,-81.41665,Chemicals,NO,0.0,0.0,0.0,0.0
SOLENIS LLC,MACON,BIBB,GA,31216,32.701282,-83.663101,Chemicals,NO,631.0,0.0,0.0,631.0
CAMSO MANUFACTURING USA LTD. (EMPORIA DIVISION),EMPORIA,LYON,KS,66801,38.39774,-96.15495,Plastics and Rubber,NO,582.0,0.0,0.0,582.0
OCCIDENTAL CHEMICAL CORP,GREGORY,SAN PATRICIO,TX,78359,27.883611,-97.241383,Chemicals,YES,19.046,4.497,0.0,23.542
BRAVO INC.,LEXINGTON,HENDERSON,TN,38351,35.719736,-88.381552,Plastics and Rubber,YES,23811.0,0.0,0.0,23811.0
FUTAMURA USA INC,TECUMSEH,SHAWNEE,KS,66542,39.05336,-95.557551,Chemicals,NO,51507.0,0.0,0.0,70557.0
SEKISUI SPECIALTY CHEMICALS AMERICA LLC. - PASADENA PLANT,PASADENA,HARRIS,TX,77506,29.716059,-95.189998,Chemicals,YES,4518.0,0.0,0.0,6023.0
BASF CORP,SPARTANBURG,SPARTANBURG,SC,29302,34.9027,-81.81428,Chemicals,YES,762.0,0.0,0.0,917.32
MILLER WASTE MILLS DBA RTP CO,WINONA,WINONA,MN,55987,44.036814,-91.602649,Chemicals,NO,0.0,5.0,0.0,255.0
UNIVAR SOLUTIONS USA,TWINSBURG,SUMMIT,OH,44087,41.291305,-81.454517,Chemical Wholesalers,YES,0.0,0.0,0.0,0.0
KING INDUSTRIES INC,NORWALK,FAIRFIELD,CT,6852,41.108491,-73.41271,Chemicals,NO,4.0,38.0,0.0,42.0
GIDDINGS GAS PLANT,GIDDINGS,FAYETTE,TX,78945,30.140193,-96.964298,Natural Gas Processing,NO,0.0,0.0,0.0,0.0
PIONEER AMERICAS LLC (DBA OLIN CHLOR ALKALI PRODUCTS),SAINT GABRIEL,IBERVILLE PARISH,LA,70776,30.241508,-91.105631,Chemicals,NO,21.94,0.0,0.0,38.94
GFP ETHANOL LLC DBA CALGREN RENEWABLE FUELS,PIXLEY,TULARE,CA,93256,36.00301,-119.303791,Chemicals,YES,4662.3,0.0,0.0,4665.96
TARKETT ALABAMA INC,FLORENCE,LAUDERDALE,AL,35634,34.883783,-87.666595,Plastics and Rubber,NO,0.0,0.0,0.0,103.68
DENKA PERFORMANCE ELASTOMER LLC,LA PLACE,ST. JOHN THE BAPTIST PARISH,LA,70068,30.056742,-90.52429,Chemicals,NO,2.5,0.0,0.0,898.0
WELDON ASPHALT CO.,LINDEN,UNION,NJ,7036,40.60382,-74.23549,Petroleum,YES,0.16,0.0,0.0,0.4
MARIANA ACQUISTION CORP/SAIPAN TERMINAL,SAIPAN,SAIPAN,MP,96950,15.224858,145.73491,Petroleum Bulk Terminals,YES,8.0,0.0,0.0,428.0
ARLANXEO,ORANGE,ORANGE,TX,77630,30.047146,-93.769768,Chemicals,NO,349.8,22.75,0.0,7485.35
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,HARRISON,MS,39571,30.389186,-89.308892,Chemicals,NO,16.0,75.0,0.0,22724.0
CHEMOURS CHAMBERS WORKS,DEEPWATER,SALEM,NJ,8023,39.682362,-75.491379,Chemicals,NO,1.88,982.0,0.0,983.88
ALDRICH CHEMICAL CO LLC,SHEBOYGAN FALLS,SHEBOYGAN,WI,53085,43.67406,-87.78147,Chemicals,YES,0.071,0.0,0.0,0.071
