fips,county,incidence_rate
36099.0,"Seneca County, New York(7)",517 
28043.0,"Grenada County, Mississippi(6)",516.9 
5135.0,"Sharp County, Arkansas(6)",516.9 
36029.0,"Erie County, New York(7)",516.8 
22003.0,"Allen Parish, Louisiana(7)",516.6 
19013.0,"Black Hawk County, Iowa(7)",516.6 
13035.0,"Butts County, Georgia(7)",516.5 
5093.0,"Mississippi County, Arkansas(6)",516.5 
54091.0,"Taylor County, West Virginia(6)",516.5 
46121.0,"Todd County, South Dakota(6)",516.4 
39081.0,"Jefferson County, Ohio(6)",516.3 
21115.0,"Johnson County, Kentucky(7)",516.3 
39079.0,"Jackson County, Ohio(6)",516.2 
28143.0,"Tunica County, Mississippi(6)",516 
21229.0,"Washington County, Kentucky(7)",516 
19033.0,"Cerro Gordo County, Iowa(7)",516 
27109.0,"Olmsted County, Minnesota(6)",516 
12101.0,"Pasco County, Florida(6)",515.8 
5001.0,"Arkansas County, Arkansas(6)",515.8 
36117.0,"Wayne County, New York(7)",515.6 
27089.0,"Marshall County, Minnesota(6)",515.5 
51017.0,"Bath County, Virginia(6)",515.5 
29035.0,"Carter County, Missouri(6)",515.4 
36013.0,"Chautauqua County, New York(7)",515.2 
17083.0,"Jersey County, Illinois(7)",515.1 
13281.0,"Towns County, Georgia(7)",515.1 
36103.0,"Suffolk County, New York(7)",514.9 
19073.0,"Greene County, Iowa(7)",514.7 
38049.0,"McHenry County, North Dakota(6)",514.7 
36123.0,"Yates County, New York(7)",514.6 
19063.0,"Emmet County, Iowa(7)",514.6 
27059.0,"Isanti County, Minnesota(6)",514.4 
34007.0,"Camden County, New Jersey(7)",514.3 
37177.0,"Tyrrell County, North Carolina(6)",514.1 
22027.0,"Claiborne Parish, Louisiana(7)",514.1 
19023.0,"Butler County, Iowa(7)",514.1 
17077.0,"Jackson County, Illinois(7)",513.9 
5129.0,"Searcy County, Arkansas(6)",513.8 
12127.0,"Volusia County, Florida(6)",513.7 
21239.0,"Woodford County, Kentucky(7)",513.6 
